size_sqft,bedrooms,age_years,price
1725.6,5,10.8,296105.88
3060.2,3,14.6,464467.37
1201.8,3,12.6,210623.0
674.9,4,6.3,155230.51
1344.2,4,5.9,229039.62
1380.8,5,37.4,221487.26
2485.7,1,17.5,328864.79
2171.1,4,15.3,321533.22
2851.7,1,29.2,384549.44
2492.9,2,22.1,359107.44
1719.2,5,37.4,278343.6
2942.1,2,31.2,391958.28
1000.9,4,19.2,206025.63
568.1,3,15.1,145740.35
770.1,2,39.5,136289.87
2667.1,2,28.7,361900.42
1885.6,3,38.0,289478.33
983.8,4,4.7,200507.87
2003.1,4,34.0,283643.54
956.9,5,25.5,191071.18
2589.0,5,4.9,402167.44
1838.5,4,23.5,277355.68
1643.1,4,27.4,268293.36
1404.5,2,0.5,212475.96
2390.8,3,18.2,371858.17
1585.4,1,33.0,250463.8
762.9,2,11.8,147859.03
854.0,5,18.3,188762.98
3385.7,3,17.7,435288.05
3225.7,1,12.1,421705.29
2599.1,4,36.7,371119.05
1297.6,5,31.3,214005.31
3407.5,5,4.4,507407.67
2836.3,2,39.9,416369.08
2650.7,3,35.2,356847.25
1848.1,3,11.4,277530.02
1316.7,2,33.5,210800.76
789.2,2,4.3,182739.1
3207.8,2,40.0,412619.15
1867.3,5,26.6,304501.31
1107.1,4,26.0,229167.79
1417.9,5,3.6,233559.18
2237.7,5,35.9,321362.34
1030.3,5,1.2,206704.11
3069.8,1,9.6,413755.75
2775.6,5,5.7,432395.61
2658.4,1,31.1,365096.2
1796.3,3,7.9,258964.98
2381.9,3,36.4,349349.57
2252.3,2,26.3,314486.8
2449.5,1,1.4,370338.23
753.3,1,0.2,138877.55
1747.4,5,2.1,289108.28
624.8,2,24.2,136979.57
1982.0,2,32.1,299250.96
1489.6,5,9.5,270700.47
933.6,1,34.0,127756.57
810.2,5,2.3,194150.95
2262.9,5,32.0,330018.15
1011.8,3,37.1,180386.7
3275.4,1,30.9,414245.06
2243.2,1,27.9,319914.43
1540.6,2,33.5,222014.54
2272.7,3,1.6,326687.03
568.4,1,8.1,132881.05
3375.7,3,5.0,480207.51
1946.9,1,20.2,272328.97
2848.2,3,29.8,422648.6
748.2,1,25.2,128572.78
1960.0,4,34.0,300655.99
1972.1,1,6.2,295583.96
3313.5,1,29.4,431630.11
2215.2,1,7.7,327028.31
1920.5,5,10.8,307039.22
1300.9,1,28.4,193738.57
1494.7,3,39.2,254200.38
2062.0,3,24.5,293602.4
1816.7,3,2.2,254726.41
564.8,4,24.7,161618.22
2978.9,5,1.7,484858.0
3188.5,2,35.4,424855.92
920.7,5,28.4,157245.54
2162.1,2,6.9,317333.2
825.7,5,3.7,182959.5
2516.7,3,7.3,369486.91
1343.7,4,39.2,206942.8
2478.3,5,18.3,386914.35
2681.0,4,31.4,395904.05
2805.9,5,25.5,391568.85
823.2,3,22.9,171826.43
3248.0,1,5.8,475651.93
1190.6,3,37.8,200535.95
612.2,1,12.1,120381.79
2164.6,5,23.1,336056.5
1612.8,2,28.0,254765.35
2989.4,2,26.0,385779.57
2924.8,2,37.6,400624.5
1451.4,4,5.9,247344.26
3358.7,3,20.3,494594.1
1372.8,5,16.2,244037.14
2045.2,3,19.0,334955.51
1267.9,2,4.8,199206.97
3308.1,1,5.4,461102.68
993.8,1,11.1,176488.31
634.7,2,12.2,123038.02
1805.3,5,17.1,300737.82
3477.1,3,24.4,497223.23
3175.0,5,25.4,453454.36
2745.8,1,16.5,353883.23
3172.4,1,16.4,430246.19
3180.3,5,8.7,453751.87
2056.6,1,23.5,287887.77
1447.8,1,12.7,224169.82
2816.0,3,1.4,385618.5
2485.0,5,16.7,355595.18
1621.0,4,19.0,274265.13
783.4,1,9.0,139655.36
2740.4,5,22.9,368923.94
1287.4,5,22.6,244943.01
3310.4,5,28.1,477298.24
1222.9,5,25.9,213082.31
868.3,2,26.1,137391.74
2993.3,5,12.6,455413.4
959.9,2,31.5,170673.97
1037.8,5,22.0,239292.74
2298.1,3,17.3,347452.27
3123.7,4,25.0,450137.63
1089.3,4,14.4,202999.41
1431.0,4,20.5,255713.38
